"ProcessId","ParentProcessId","CommandLine"
"16988","384","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" "
"8852","16988","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" --type=gpu-process --user-data-dir=""C:\Users\Administrator\AppData\Roaming\bb"" --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1696,i,13584691036547565171,15591817960788659522,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1700,i,4300436415871858544,1748855693420676915,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1684 /prefetch:2"
"14948","16988","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\Administrator\AppData\Roaming\bb"" --field-trial-handle=1696,i,13584691036547565171,15591817960788659522,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1700,i,4300436415871858544,1748855693420676915,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=1932 /prefetch:11"
"13636","16988","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\dist\bb-app-bridge.mjs"""
"18652","13636","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\server\dist\index.js"""
"15604","16988","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" --type=renderer --user-data-dir=""C:\Users\Administrator\AppData\Roaming\bb"" --app-path=""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar"" --enable-sandbox --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1788666475983861 --launch-time-ticks=23372980085 --field-trial-handle=1696,i,13584691036547565171,15591817960788659522,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1700,i,4300436415871858544,1748855693420676915,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3668 /prefetch:1"
"21580","13636","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\daemon-bundle.mjs"""
"16504","21580","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\bb-parcel-watcher-child.mjs"""
"19724","21580","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\bb-plugin-host-worker.mjs"" C:\Users\Administrator\.bb\plugin-host-artifacts\keep-awake\9af673a5a0f2bdaa02e8e70fb9632ce96d17e24b3e2272efb41a5f9bc5ed6f0a\host.mjs keep-awake 01b8eb7a-457b-469f-8299-a1163b6fed96 C:\Users\Administrator\.bb\plugins\keep-awake\host-data C:\Users\Administrator\AppData\Local\Temp\bb-host-keep-awake-FJSR4B"
"10948","21580","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\bb-plugin-host-worker.mjs"" C:\Users\Administrator\.bb\plugin-host-artifacts\concurrency-limit\a12b52e2e8de31f0ce972f5e642b335be4538c506886dd3d92ae3d01f921e006\host.mjs concurrency-limit 424666f6-613b-4972-9436-072131b2ce87 C:\Users\Administrator\.bb\plugins\concurrency-limit\host-data C:\Users\Administrator\AppData\Local\Temp\bb-host-concurrency-limit-TqnqQC"
"16952","21580","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\bb-plugin-host-worker.mjs"" C:\Users\Administrator\.bb\plugin-host-artifacts\provider-acp\48c2ab9bdab43b349a11ff8e8dac742b09c456b88adf0823af48cf38133fbd77\host.mjs provider-acp e657c3e5-b677-44e6-bcfd-8a96770645c4 C:\Users\Administrator\.bb\plugins\provider-acp\host-data C:\Users\Administrator\AppData\Local\Temp\bb-host-provider-acp-dFy3Na"
