
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        172 K
Registry                       324 Services                   0     66,960 K
smss.exe                       604 Services                   0      1,680 K
csrss.exe                      960 Services                   0      6,544 K
wininit.exe                    728 Services                   0      9,136 K
csrss.exe                      724 Console                    1      8,432 K
winlogon.exe                  1076 Console                    1     15,408 K
services.exe                  1096 Services                   0     10,600 K
lsass.exe                     1140 Services                   0     29,472 K
svchost.exe                   1276 Services                   0     35,952 K
fontdrvhost.exe               1308 Services                   0      4,624 K
fontdrvhost.exe               1316 Console                    1     11,364 K
svchost.exe                   1364 Services                   0     17,620 K
dwm.exe                       1504 Console                    1    187,712 K
svchost.exe                   1564 Services                   0     19,320 K
svchost.exe                   1640 Services                   0     88,248 K
svchost.exe                   1720 Services                   0     31,916 K
svchost.exe                   1768 Services                   0     13,088 K
svchost.exe                   1804 Services                   0     20,452 K
vmms.exe                      1856 Services                   0     29,944 K
svchost.exe                   1912 Services                   0     27,320 K
svchost.exe                   2008 Services                   0     11,676 K
NVDisplay.Container.exe        952 Services                   0     51,804 K
amdfendrsr.exe                2096 Services                   0      9,188 K
atiesrxx.exe                  2104 Services                   0      8,960 K
svchost.exe                   2232 Services                   0      8,512 K
svchost.exe                   2300 Services                   0     18,756 K
atieclxx.exe                  2324 Console                    1     20,368 K
svchost.exe                   2368 Services                   0     23,096 K
svchost.exe                   2476 Services                   0     19,448 K
svchost.exe                   2508 Services                   0     10,980 K
svchost.exe                   2572 Services                   0     12,396 K
svchost.exe                   2752 Services                   0     20,440 K
svchost.exe                   2860 Services                   0      9,536 K
vds.exe                       2872 Services                   0      8,664 K
wslservice.exe                2884 Services                   0     27,904 K
Everything.exe                2904 Services                   0     10,368 K
tailscaled.exe                3056 Services                   0     32,284 K
vmcompute.exe                 3112 Services                   0      9,936 K
NVDisplay.Container.exe       3296 Console                    1    180,572 K
WmiPrvSE.exe                  3400 Services                   0     58,852 K
tailscaled.exe                3560 Services                   0     74,708 K
svchost.exe                   3872 Services                   0     16,968 K
svchost.exe                   4040 Services                   0     12,048 K
sihost.exe                    4860 Console                    1     48,128 K
svchost.exe                   4884 Console                    1     41,208 K
svchost.exe                   4916 Console                    1      6,732 K
taskhostw.exe                 4992 Console                    1     20,332 K
MicrosoftEdgeUpdate.exe       5016 Services                   0      5,328 K
AUEPMaster.exe                5080 Console                    1      4,028 K
dllhost.exe                   5276 Console                    1      9,144 K
BraveCrashHandler.exe         5656 Services                   0      1,796 K
BraveCrashHandler64.exe       5664 Services                   0        400 K
explorer.exe                  5848 Console                    1    376,420 K
ShellHost.exe                 4460 Console                    1     63,180 K
CrossDeviceResume.exe         5580 Console                    1     69,392 K
svchost.exe                   5540 Services                   0     28,916 K
ctfmon.exe                    6972 Console                    1     33,940 K
iCUE.exe                      6440 Console                    1    197,120 K
crashpad_handler.exe          6688 Console                    1      7,868 K
iCUEUpdateService.exe         6184 Services                   0     17,428 K
crashpad_handler.exe          6308 Services                   0      6,724 K
CorsairCpuIdService.exe       6420 Services                   0     72,196 K
crashpad_handler.exe          6544 Services                   0      6,736 K
CorsairDeviceControlServi     6596 Services                   0     13,916 K
crashpad_handler.exe          6652 Services                   0      6,740 K
flameshot.exe                 6968 Console                    1     88,832 K
svchost.exe                   7036 Services                   0     15,488 K
TextInputHost.exe             6804 Console                    1    188,344 K
WmiApSrv.exe                  6380 Services                   0     10,560 K
QmlRenderer.exe               8028 Console                    1    147,520 K
conhost.exe                   7044 Console                    1      6,136 K
WmiPrvSE.exe                  8616 Services                   0     16,980 K
svchost.exe                   8820 Console                    1     26,380 K
tailscale-ipn.exe             8148 Console                    1     58,884 K
Everything.exe                8984 Console                    1    295,240 K
svchost.exe                   9252 Services                   0      9,360 K
RadeonSoftware.exe            9588 Console                    1    105,136 K
CPUMetricsServer.exe          9844 Console                    1      2,444 K
cncmd.exe                     9932 Console                    1        608 K
cmd.exe                      10008 Console                    1        492 K
conhost.exe                  10016 Console                    1        584 K
AMDRSServ.exe                10048 Console                    1     71,308 K
