"ProcessId","ParentProcessId","CommandLine"
"16844","15872","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" "
"21724","16844","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" --type=gpu-process --user-data-dir=""C:\Users\Administrator\AppData\Roaming\bb"" --gpu-preferences=SAAAAAAAAADgAAAEAAAAAAAAAAAAAGAAAQAAAAAAAAAAAAAAAAAAAAIAAAAAAAAAAAAAAAAAAAAQAAAAAAAAABAAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --field-trial-handle=1696,i,2655911191370184623,14760030385632900987,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1700,i,1764452150564767696,1686043550316096203,4 --trace-process-track-uuid=3190708988185955192 --mojo-platform-channel-handle=1668 /prefetch:2"
"15640","16844","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --user-data-dir=""C:\Users\Administrator\AppData\Roaming\bb"" --field-trial-handle=1696,i,2655911191370184623,14760030385632900987,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1700,i,1764452150564767696,1686043550316096203,4 --trace-process-track-uuid=3190708989122997041 --mojo-platform-channel-handle=1956 /prefetch:11"
"17036","16844","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\dist\bb-app-bridge.mjs"""
"14088","17036","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\server\dist\index.js"""
"20376","17036","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\daemon-bundle.mjs"""
"14404","16844","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" --type=renderer --user-data-dir=""C:\Users\Administrator\AppData\Roaming\bb"" --app-path=""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar"" --enable-sandbox --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1788666475983861 --launch-time-ticks=24762571503 --field-trial-handle=1696,i,2655911191370184623,14760030385632900987,262144 --enable-features=EnableTransparentHwndEnlargement,PdfUseShowSaveFilePicker --disable-features=DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,NetworkServiceSandbox,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1700,i,1764452150564767696,1686043550316096203,4 --trace-process-track-uuid=3190708990997080739 --mojo-platform-channel-handle=3632 /prefetch:1"
"8460","20376","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\bb-parcel-watcher-child.mjs"""
"11704","20376","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\bb-plugin-host-worker.mjs"" C:\Users\Administrator\.bb\plugin-host-artifacts\concurrency-limit\a12b52e2e8de31f0ce972f5e642b335be4538c506886dd3d92ae3d01f921e006\host.mjs concurrency-limit fe21550f-28de-4455-bc02-e67c2e3da92b C:\Users\Administrator\.bb\plugins\concurrency-limit\host-data C:\Users\Administrator\AppData\Local\Temp\bb-host-concurrency-limit-AzmR65"
"8532","20376","""C:\Users\Administrator\AppData\Local\Programs\bb wn\bb wn.exe"" ""C:\Users\Administrator\AppData\Local\Programs\bb wn\resources\app.asar.unpacked\node_modules\bb-app\host-daemon\dist\bb-plugin-host-worker.mjs"" C:\Users\Administrator\.bb\plugin-host-artifacts\keep-awake\9af673a5a0f2bdaa02e8e70fb9632ce96d17e24b3e2272efb41a5f9bc5ed6f0a\host.mjs keep-awake 3b8af075-e37a-43d3-abf3-01577df4fe93 C:\Users\Administrator\.bb\plugins\keep-awake\host-data C:\Users\Administrator\AppData\Local\Temp\bb-host-keep-awake-YoLOUq"
